id,phenotype
MBD6,0.6750524967433866
AAGAB,0.6747621596898323
RAB3GAP1,0.6747477705714492
CYTH2,0.674498297601285
CELSR1,0.6743801194780327
SLC12A4,0.674247588673897
ITGA2B,0.6740500025436252
LCP2,0.6738655656218535
C12orf76,0.6736190968276361
PAQR9,0.6735593866724989
HDAC5,0.6734189579607668
ITSN2,0.6730290976863735
C12orf60,0.6728511995346484
ARCN1,0.6724848158954435
CDC40,0.672406457651681
DYNC1H1,0.6722333400725373
FXR1,0.6722177768489406
TACO1,0.6720278302595587
THOP1,0.6718976315006902
CAPRIN2,0.6718533506224502
PIP5K1A,0.6714444721899097
SMPDL3A,0.6709688785756676
DDX51,0.6708768032250514
CH25H,0.6707422607502136
EIF3I,0.6705321345449212
NDUFA13,0.6697715003632752
ROGDI,0.6697050566792712
ZNF655,0.66962559467338
BRPF3,0.6695289840638219
STX17,0.6695139658655354
LMNB2,0.6694311406483057
GTF3C1,0.6678877543388346
UBA52,0.6677341531698473
VAX2,0.6675583489179133
TXNDC15,0.6675085186791816
SERPINB2,0.6674469032315562
AIP,0.6673987445643458
ZNHIT3,0.6671928143671606
TRMT6,0.6670620455587705
SERINC3,0.6663584946450424
ABHD14A,0.665813488795743
CAPN12,0.6656410908358114
SERPINA6,0.6654767965465072
SIVA1,0.6653580533035629
HSD17B1,0.6653341938358721
DHRS9,0.6651344750062103
TMEM219,0.6650818228952485
ZC3H7A,0.6649069766913885
CACNA1H,0.6648539138022185
MRPS36,0.6647914219719021
NEO1,0.6647584862253739
NEDD9,0.6647211765273349
FBXO27,0.6645077069891021
STARD10,0.664331987861259
ATXN10,0.664304578825293
KCTD10,0.6642891634007844
MAPK11,0.6637746201558978
EPHA2,0.6633732678891653
BAP1,0.6633387438876792
BZW1,0.6633088584396825
SMYD5,0.6629075555245268
SH2D3A,0.6627016213348044
HSD17B12,0.6624793783747986
INTS3,0.6623366362872412
GEMIN2,0.6618437249147836
APOA2,0.6618435742861137
PLAC8,0.6618219800373263
YTHDF1,0.6617213165063994
ZNF283,0.6612554062953937
SH3BGRL3,0.6611934817112801
SMIM12,0.6611668125401442
ERBB2,0.6610986345416645
TLR9,0.6609805379852173
EPM2AIP1,0.6609575968950494
PPP2R2B,0.6608599241502096
NECAB2,0.6605214837258153
CPS1,0.6602223370577518
FOXN3,0.6601032729179891
SP1,0.6599387779106739
OIT3,0.659764807224187
SLPI,0.659731294028263
ZNF607,0.6594887408148932
SAA4,0.6594467213739311
DNAH1,0.6594361079932247
TFCP2,0.6588114638878942
PNPO,0.658747460522549
PFDN5,0.6587062671450872
NKX6-1,0.6582840644023248
SLC26A10,0.6580402144262225
IER5,0.657905494632201
PRIM1,0.657583837805603
MED21,0.6574082533808422
SLC39A13,0.6572754160888408
OTX1,0.6571768303966018
CEBPA,0.6569298774230777
EDEM1,0.6567152196390733
BSDC1,0.6566334020161197
SPAG5,0.6566243944077408
PIM1,0.6566091957920027
PKIG,0.6566088106054266
LAMTOR4,0.6565951300396279
TOP1MT,0.6564967232617359
NDFIP1,0.6564343537777617
RPS7,0.656268260999775
ACVR1,0.656121266963474
SCAMP2,0.6560973096269243
SPPL3,0.6559739188811812
MXI1,0.6558226591803322
AKIRIN1,0.6555360345221148
FZR1,0.655407058805922
RBM18,0.6553560404676946
SSH1,0.6553183585196809
GEN1,0.6552198054329803
FAM98C,0.6546492391508163
TRIM41,0.6546371116983443
PSIP1,0.6545582558298202
HLX,0.6545142555016498
SLC9A3R2,0.6544129105540226
